ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
1,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100101,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,10200
2,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100102,วังบูรพาภิรมย์,Wang Burapha Phirom,10200
3,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100103,วัดราชบพิธ,Wat Ratchabophit,10200
4,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100104,สำราญราษฎร์,Samran Rat,10200
5,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100105,ศาลเจ้าพ่อเสือ,San Chaopho Suea,10200
6,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100106,เสาชิงช้า,Sao Chingcha,10200
7,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100107,บวรนิเวศ,Bowon Niwet,10200
8,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100108,ตลาดยอด,Talat Yot,10200
9,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100109,ชนะสงคราม,Chana Songkhram,10200
10,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100110,บ้านพานถม,Ban Phan Thom,10200
11,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100111,บางขุนพรหม,Bang Khun Phrom,10200
12,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1001,พระนคร,Phra Nakhon,100112,วัดสามพระยา,Wat Sam Phraya,10200
